answer,count,cluster,sentiment,corrected,question,code
доску канбан,1,доску канбан,neutrals,доску канбан,Что планируете применять из пройденного обучения в ближайшее время?,24727
канбан доску,1,доску канбан,neutrals,канбан доску,Что планируете применять из пройденного обучения в ближайшее время?,24727
использовать в проекте,1,использовать в проекте,neutrals,использовать в проекте,Что планируете применять из пройденного обучения в ближайшее время?,24727
оформление проектной работы,1,разработка проекта,neutrals,оформление проектной работы,Что планируете применять из пройденного обучения в ближайшее время?,24727
планирование своего проекта,1,разработка проекта,neutrals,планирование своего проекта,Что планируете применять из пройденного обучения в ближайшее время?,24727
проектное мышление,2,проектное мышление,neutrals,проектное мышление,Что планируете применять из пройденного обучения в ближайшее время?,24727
разработка проекта,1,разработка проекта,neutrals,разработка проекта,Что планируете применять из пройденного обучения в ближайшее время?,24727
управление рисками,2,управление рисками,neutrals,управление рисками,Что планируете применять из пройденного обучения в ближайшее время?,24727
частично,1,частично,neutrals,частично,Что планируете применять из пройденного обучения в ближайшее время?,24727
авторитет,1,авторитет,positives,авторитет,Напишите сильные стороны переговорщиков в Росатоме,24378
административный ресурс,1,административный ресурс,neutrals,административный ресурс,Напишите сильные стороны переговорщиков в Росатоме,24378
бренд,2,бренд,neutrals,бренд,Напишите сильные стороны переговорщиков в Росатоме,24378
гибкость,1,гибкость,positives,гибкость,Напишите сильные стороны переговорщиков в Росатоме,24378
грамотные технические спецы,1,грамотные технические специалисты,positives,грамотные технические специалисты,Напишите сильные стороны переговорщиков в Росатоме,24378
духом,1,духом,neutrals,духом,Напишите сильные стороны переговорщиков в Росатоме,24378
заёмными средствами,1,заёмными средствами,neutrals,заёмными средствами,Напишите сильные стороны переговорщиков в Росатоме,24378
знание,1,знания,positives,знание,Напишите сильные стороны переговорщиков в Росатоме,24378
знания,1,знания,positives,знания,Напишите сильные стороны переговорщиков в Росатоме,24378
знания и опыт,1,знания,positives,знания и опыт,Напишите сильные стороны переговорщиков в Росатоме,24378
имидж,1,имидж,neutrals,имидж,Напишите сильные стороны переговорщиков в Росатоме,24378
компетентность уважение,1,компетентность уважение,positives,компетентность уважение,Напишите сильные стороны переговорщиков в Росатоме,24378
компетентностью и квалифик,1,компетентностью и квалификацией,positives,компетентностью и квалификацией,Напишите сильные стороны переговорщиков в Росатоме,24378
компетенции,1,компетентность уважение,neutrals,компетенции,Напишите сильные стороны переговорщиков в Росатоме,24378
лидеры в отрасли,1,лидеры в отрасли,positives,лидеры в отрасли,Напишите сильные стороны переговорщиков в Росатоме,24378
опыт,3,опыт,positives,опыт,Напишите сильные стороны переговорщиков в Росатоме,24378
опытом,1,опыт,positives,опытом,Напишите сильные стороны переговорщиков в Росатоме,24378
опыт строительства,1,опыт строительства,positives,опыт строительства,Напишите сильные стороны переговорщиков в Росатоме,24378
отстаивание позиции,1,отстаивание позиции,neutrals,отстаивание позиции,Напишите сильные стороны переговорщиков в Росатоме,24378
подготовка,2,подготовка,neutrals,подготовка,Напишите сильные стороны переговорщиков в Росатоме,24378
продукты сильнее на рынке,1,продукты сильнее на рынке,positives,продукты сильнее на рынке,Напишите сильные стороны переговорщиков в Росатоме,24378
репутация,3,репутация,neutrals,репутация,Напишите сильные стороны переговорщиков в Росатоме,24378
сильная стартовая позиция,2,сильная стартовая позиция,positives,сильная стартовая позиция,Напишите сильные стороны переговорщиков в Росатоме,24378
референции,1,референции,neutrals,референции,Напишите сильные стороны переговорщиков в Росатоме,24378
стратегия,1,стратегия,neutrals,стратегия,Напишите сильные стороны переговорщиков в Росатоме,24378
упрямость,1,упрямость,neutrals,упрямость,Напишите сильные стороны переговорщиков в Росатоме,24378
харизма,1,харизма,positives,харизма,Напишите сильные стороны переговорщиков в Росатоме,24378
singapore,4,singapore,neutrals,singapore,What countries are major recipients of FDI?,20398
south america,1,south america,neutrals,south america,What countries are major recipients of FDI?,20398
swiss,1,swiss,neutrals,swiss,What countries are major recipients of FDI?,20398
thailand,1,thailand,neutrals,thailand,What countries are major recipients of FDI?,20398
turkey,1,turkey,neutrals,turkey,What countries are major recipients of FDI?,20398
uae,2,uae,neutrals,uae,What countries are major recipients of FDI?,20398
uk,3,united kingdom,neutrals,uk,What countries are major recipients of FDI?,20398
united kingdom,1,united kingdom,neutrals,united kingdom,What countries are major recipients of FDI?,20398
vietnam,1,vietnam,neutrals,vietnam,What countries are major recipients of FDI?,20398
активность,2,активность,context sentiment,активные,Каким словом можно описать состояние молодежи Росатома сегодня?,24519
в ресурсе,1,в ресурсе,context cluster,рабочее,Каким словом можно описать состояние молодежи Росатома сегодня?,24519
в шоколаде,1,в шоколаде,context sentiment,хорошее,Каким словом можно описать состояние молодежи Росатома сегодня?,24519
вовлеченная,1,вовлеченная,context sentiment,вовлеченное,Каким словом можно описать состояние молодежи Росатома сегодня?,24519
вовлеченное,2,вовлеченное,context sentiment,вовлеченное,Каким словом можно описать состояние молодежи Росатома сегодня?,24519
вовлеченость,1,вовлеченность,context sentiment,вовлеченное,Каким словом можно описать состояние молодежи Росатома сегодня?,24519
разрозненные,1,разрозненные,context sentiment,разрозненные,Каким словом можно описать состояние молодежи Росатома сегодня?,24519
спит,1,спит,context cluster,вялая,Каким словом можно описать состояние молодежи Росатома сегодня?,24519
быть проще,2,быть проще,positives,быть проще,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
быть проще и люди потянутся,1,быть проще,positives,быть проще и люди потянутся,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
легкость,1,легкость,positives,легкость,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
простота,5,простота,neutrals,простота,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
вдохновение,1,вдохновение,positives,вдохновение,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
вера,1,вера,positives,вера,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
взаимность,1,взаимность,neutrals,взаимность,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
внимание,1,внимание,positives,внимание,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
вовлечённость,1,вовлечённость,positives,вовлечённость,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
выжимать по максимуму,1,выжимать по максимуму,neutrals,выжимать по максимуму,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
готовность поддержать,1,готовность поддержать,positives,готовность поддержать,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
готовность помочь,1,готовность поддержать,positives,готовность помочь,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
желание помочь,1,желание помочь,positives,желание помочь,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
доверие,1,доверие,positives,доверие,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
желание развиваться постоянно,1,желание развиваться постоянно,positives,желание развиваться постоянно,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
идейность,1,идейность,positives,идейность,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
искренность,1,искренность,positives,искренность,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
коммуникативность,1,коммуникативность,positives,коммуникативность,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
мотивация,1,мотивация,positives,мотивация,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
умение вдохновлять,1,умение вдохновлять,positives,умение вдохновлять,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
не бояться что-то не знать,1,не бояться что то не знать,positives,не бояться что то не знать,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
небезразличие,1,небезразличие,positives,небезразличие,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
оптимизм и чувство юмора,1,чувство юмора,positives,оптимизм и чувство юмора,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
чувство юмора,2,чувство юмора,neutrals,чувство юмора,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
юмор,1,чувство юмора,neutrals,юмор,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
отзвычивость,1,отзывчивость,positives,отзывчивость,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
открытость,4,открытость,positives,открытость,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
открытость изменениям,1,открытость изменениям,positives,открытость изменениям,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
понимание,1,понимание,positives,понимание,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
саморазвитие,1,саморазвитие,positives,саморазвитие,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
терпение,1,терпение,positives,терпение,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
тройной тулуп,1,тройной тулуп,neutrals,тройной тулуп,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
умение находить нужную волну,1,умение находить нужную волну,neutrals,умение находить нужную волну,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
умеренность,1,умеренность,neutrals,умеренность,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
человечность,1,человечность,positives,человечность,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
честность,1,честность,positives,честность,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
честность открытость юмор,1,честность открытость юмор,positives,честность открытость юмор,Вопрос от Алексея Ягудина. Какое самое главное качество в наставнике?,25599
банк контактов,1,банк контактов,neutrals,банк контактов,Какие молодежные инициативы могут быть реализованы для усиления информационного поля Росатома?,24631
информационная вкладка,1,информационная вкладка,neutrals,информационная вкладка,Какие молодежные инициативы могут быть реализованы для усиления информационного поля Росатома?,24631
молодёжный слет,1,молодёжный слет,neutrals,молодёжный слет,Какие молодежные инициативы могут быть реализованы для усиления информационного поля Росатома?,24631
новостная рассылка,1,новостная рассылка,neutrals,новостная рассылка,Какие молодежные инициативы могут быть реализованы для усиления информационного поля Росатома?,24631
очные горизонтальные встречи,1,очные горизонтальные встречи,neutrals,очные горизонтальные встречи,Какие молодежные инициативы могут быть реализованы для усиления информационного поля Росатома?,24631
регулярные  онлайн конференции,1,регулярные онлайн конференции,neutrals,регулярные онлайн конференции,Какие молодежные инициативы могут быть реализованы для усиления информационного поля Росатома?,24631
создание информационного банка,1,создание информационного банка,neutrals,создание информационного банка,Какие молодежные инициативы могут быть реализованы для усиления информационного поля Росатома?,24631
atomexpo,1,atomexpo,neutrals,atomexpo,Какие мероприятия за последние 4 года вас вдохновили?,27601
atomskills,2,atomskills,neutrals,atomskills,Какие мероприятия за последние 4 года вас вдохновили?,27601
атомскилс,2,atomskills,neutrals,атомскилс,Какие мероприятия за последние 4 года вас вдохновили?,27601
hr-конференция,1,hr конференция,neutrals,hr конференция,Какие мероприятия за последние 4 года вас вдохновили?,27601
pro.yaok,1,pro yaok,neutrals,pro yaok,Какие мероприятия за последние 4 года вас вдохновили?,27601
форум прояок,1,pro yaok,neutrals,форум прояок,Какие мероприятия за последние 4 года вас вдохновили?,27601
proлюдей,1,proлюдей,neutrals,proлюдей,Какие мероприятия за последние 4 года вас вдохновили?,27601
skill talk,3,skilltalk,neutrals,skill talk,Какие мероприятия за последние 4 года вас вдохновили?,27601
skilltalk,1,skilltalk,neutrals,skilltalk,Какие мероприятия за последние 4 года вас вдохновили?,27601
steam,1,steam,neutrals,steam,Какие мероприятия за последние 4 года вас вдохновили?,27601
мероприятия от steam,1,steam,neutrals,мероприятия от steam,Какие мероприятия за последние 4 года вас вдохновили?,27601
welcomday,1,welcomday,neutrals,welcomday,Какие мероприятия за последние 4 года вас вдохновили?,27601
worldskills kazan 2019,1,worldskills kazan 2019,neutrals,worldskills kazan 2019,Какие мероприятия за последние 4 года вас вдохновили?,27601
атомдрайв,6,атомдрайв,neutrals,атомдрайв,Какие мероприятия за последние 4 года вас вдохновили?,27601
атомпрофи,2,атомпрофи,neutrals,атомпрофи,Какие мероприятия за последние 4 года вас вдохновили?,27601
атомскилс и хайтек,1,атомскилс и хайтек,neutrals,атомскилс и хайтек,Какие мероприятия за последние 4 года вас вдохновили?,27601
атомслет,1,атомслет,neutrals,атомслет,Какие мероприятия за последние 4 года вас вдохновили?,27601
атомслёт,1,атомслет,neutrals,атомслёт,Какие мероприятия за последние 4 года вас вдохновили?,27601
атомспорт,1,атомспорт,neutrals,атомспорт,Какие мероприятия за последние 4 года вас вдохновили?,27601
атомэкс регион 2022,1,атомекс регион 2022,neutrals,атомекс регион 2022,Какие мероприятия за последние 4 года вас вдохновили?,27601
вектор,1,вектор,neutrals,вектор,Какие мероприятия за последние 4 года вас вдохновили?,27601
велопробег,1,велопробег,neutrals,велопробег,Какие мероприятия за последние 4 года вас вдохновили?,27601
велопробег на предприятии,1,велопробег,neutrals,велопробег на предприятии,Какие мероприятия за последние 4 года вас вдохновили?,27601
волонтерство,1,волонтерство,neutrals,волонтерство,Какие мероприятия за последние 4 года вас вдохновили?,27601
встреча с а.е. лихачевым,1,встреча с лихачевым,neutrals,встреча с а е лихачевым,Какие мероприятия за последние 4 года вас вдохновили?,27601
встреча с лае,2,встреча с лихачевым,neutrals,встреча с лае,Какие мероприятия за последние 4 года вас вдохновили?,27601
встреча с лае в 2019 на хайтек,1,встреча с лихачевым,neutrals,встреча с лае в 2019 на хайтек,Какие мероприятия за последние 4 года вас вдохновили?,27601
встреча с лае сентябрь,1,встреча с лихачевым,neutrals,встреча с лае сентябрь,Какие мероприятия за последние 4 года вас вдохновили?,27601
встреча с лихачевым,1,встреча с лихачевым,neutrals,встреча с лихачевым,Какие мероприятия за последние 4 года вас вдохновили?,27601
встреча с лихачевым а. е.,1,встреча с лихачевым,neutrals,встреча с лихачевым а е,Какие мероприятия за последние 4 года вас вдохновили?,27601
встречи с а. е.,1,встреча с лихачевым,neutrals,встречи с а е,Какие мероприятия за последние 4 года вас вдохновили?,27601
встреча с терентьевой т.а.,1,встреча с терентьевой т а,neutrals,встреча с терентьевой т а,Какие мероприятия за последние 4 года вас вдохновили?,27601
гонка дивизионов,2,гонка дивизионов,neutrals,гонка дивизионов,Какие мероприятия за последние 4 года вас вдохновили?,27601
день донора,2,день донора,neutrals,день донора,Какие мероприятия за последние 4 года вас вдохновили?,27601
день информирования,3,день информирования,neutrals,день информирования,Какие мероприятия за последние 4 года вас вдохновили?,27601
день работника атомной промышн,1,день работника атомной промышленности,neutrals,день работника атомной промышленности,Какие мероприятия за последние 4 года вас вдохновили?,27601
дивизиональные,1,дивизиональные,neutrals,дивизиональные,Какие мероприятия за последние 4 года вас вдохновили?,27601
добро,1,добро,neutrals,добро,Какие мероприятия за последние 4 года вас вдохновили?,27601
забег атомных городов,1,забег атомных городов,neutrals,забег атомных городов,Какие мероприятия за последние 4 года вас вдохновили?,27601
запуск global partners network,1,запуск global partners network,neutrals,запуск global partners network,Какие мероприятия за последние 4 года вас вдохновили?,27601
карнавал,3,карнавал,neutrals,карнавал,Какие мероприятия за последние 4 года вас вдохновили?,27601
ковид,2,коронавирус,neutrals,коронавирус,Какие мероприятия за последние 4 года вас вдохновили?,27601
команда,1,команда,neutrals,команда,Какие мероприятия за последние 4 года вас вдохновили?,27601
конгресс,2,конгресс,neutrals,конгресс,Какие мероприятия за последние 4 года вас вдохновили?,27601
конгресс лидеров изменений,10,конгресс лидеров изменений,neutrals,конгресс лидеров изменений,Какие мероприятия за последние 4 года вас вдохновили?,27601
конгресс росатома,4,конгресс росатома,neutrals,конгресс росатома,Какие мероприятия за последние 4 года вас вдохновили?,27601
конкурс «энергетика лидеров»,1,конкурс энергетика лидеров,neutrals,конкурс энергетика лидеров,Какие мероприятия за последние 4 года вас вдохновили?,27601
конференция жао,1,конференция жао,neutrals,конференция жао,Какие мероприятия за последние 4 года вас вдохновили?,27601
конференция команды в воронеже,1,конференция команды в воронеже,neutrals,конференция команды в воронеже,Какие мероприятия за последние 4 года вас вдохновили?,27601
кубок по рационализации,1,кубок по рационализации,neutrals,кубок по рационализации,Какие мероприятия за последние 4 года вас вдохновили?,27601
кубок росатома,1,кубок росатома,neutrals,кубок росатома,Какие мероприятия за последние 4 года вас вдохновили?,27601
ледокол,1,ледокол,neutrals,ледокол,Какие мероприятия за последние 4 года вас вдохновили?,27601
ледокол открытий,1,ледокол открытий,neutrals,ледокол открытий,Какие мероприятия за последние 4 года вас вдохновили?,27601
лидеры россии,1,лидеры россии,neutrals,лидеры россии,Какие мероприятия за последние 4 года вас вдохновили?,27601
личная встреча с черниковым аа,1,личная встреча с черниковым аа,neutrals,личная встреча с черниковым а а,Какие мероприятия за последние 4 года вас вдохновили?,27601
мероприятия моей организации,1,мероприятия моей организации,neutrals,мероприятия моей организации,Какие мероприятия за последние 4 года вас вдохновили?,27601
мобилизация,1,мобилизация,neutrals,мобилизация,Какие мероприятия за последние 4 года вас вдохновили?,27601
молодежный конгресс 2019,1,молодежный конгресс 2019,neutrals,молодежный конгресс 2019,Какие мероприятия за последние 4 года вас вдохновили?,27601
мы вместе,1,мы вместе,neutrals,мы вместе,Какие мероприятия за последние 4 года вас вдохновили?,27601
мывместе,1,мы вместе,neutrals,мы вместе,Какие мероприятия за последние 4 года вас вдохновили?,27601
научная конференция,1,научная конференция,neutrals,научная конференция,Какие мероприятия за последние 4 года вас вдохновили?,27601
ничего,1,ничего,neutrals,ничего,Какие мероприятия за последние 4 года вас вдохновили?,27601
нтк,3,нтк,neutrals,нтк,Какие мероприятия за последние 4 года вас вдохновили?,27601
обучение в укр,1,обучение в укр,neutrals,обучение в укр,Какие мероприятия за последние 4 года вас вдохновили?,27601
открытие академии маяк,1,открытие академии маяк,neutrals,открытие академии маяк,Какие мероприятия за последние 4 года вас вдохновили?,27601
пмэф,1,пмэф,neutrals,пмэф,Какие мероприятия за последние 4 года вас вдохновили?,27601
поездка в атомфлот,1,поездка в атомфлот,neutrals,поездка в атомфлот,Какие мероприятия за последние 4 года вас вдохновили?,27601
посвят внииа,1,посвят внииа,neutrals,посвят внииа,Какие мероприятия за последние 4 года вас вдохновили?,27601
"посвящение в ""марсиане""",1,посвящение в марсиане,neutrals,посвящение в марсиане,Какие мероприятия за последние 4 года вас вдохновили?,27601
праздничный концерт 28.09,1,праздничный концерт 28 09,neutrals,праздничный концерт 28 09,Какие мероприятия за последние 4 года вас вдохновили?,27601
приёмка 1 серийного ледокола,1,приёмка 1 серийного ледокола,neutrals,приёмка 1 серийного ледокола,Какие мероприятия за последние 4 года вас вдохновили?,27601
пушистый атом,2,пушистый атом,neutrals,пушистый атом,Какие мероприятия за последние 4 года вас вдохновили?,27601
российская энергетическая неде,1,российская энергетическая неделя,neutrals,российская энергетическая неделя,Какие мероприятия за последние 4 года вас вдохновили?,27601
свадьба,1,свадьба,neutrals,свадьба,Какие мероприятия за последние 4 года вас вдохновили?,27601
слет,1,слет,neutrals,слет,Какие мероприятия за последние 4 года вас вдохновили?,27601
слёт кпи май,1,слёт кпи май,neutrals,слёт кпи май,Какие мероприятия за последние 4 года вас вдохновили?,27601
слёт лидеров в мае,1,слёт лидеров в мае,neutrals,слёт лидеров в мае,Какие мероприятия за последние 4 года вас вдохновили?,27601
слёт лидеров молодёжи,2,слёт лидеров молодёжи,neutrals,слёт лидеров молодёжи,Какие мероприятия за последние 4 года вас вдохновили?,27601
слёт молодёжи маиностроительно,1,слёт молодёжи машиностроительного дивизиона,neutrals,слёт молодёжи машиностроительного дивизиона,Какие мероприятия за последние 4 года вас вдохновили?,27601
сочи,1,сочи,neutrals,сочи,Какие мероприятия за последние 4 года вас вдохновили?,27601
спартакиада горнорудного,1,спартакиада горнорудного,neutrals,спартакиада горнорудного,Какие мероприятия за последние 4 года вас вдохновили?,27601
таврида-арт,1,таврида арт,neutrals,таврида арт,Какие мероприятия за последние 4 года вас вдохновили?,27601
танцевальный флешмоб атоммаш,2,танцевальный флешмоб атоммаш,neutrals,танцевальный флешмоб атоммаш,Какие мероприятия за последние 4 года вас вдохновили?,27601
техтуры,1,техтуры,neutrals,техтуры,Какие мероприятия за последние 4 года вас вдохновили?,27601
туристический слёт,1,туристический слёт,neutrals,туристический слёт,Какие мероприятия за последние 4 года вас вдохновили?,27601
"фестиваль ""люди""",2,фестиваль люди,neutrals,фестиваль люди,Какие мероприятия за последние 4 года вас вдохновили?,27601
фестиваль «люди»,1,фестиваль люди,neutrals,фестиваль люди,Какие мероприятия за последние 4 года вас вдохновили?,27601
форсаж 2019,1,форсаж 2019,neutrals,форсаж 2019,Какие мероприятия за последние 4 года вас вдохновили?,27601
форум мывместе клуб настольных,1,форум мы вместе клуб настольных,neutrals,форум мы вместе клуб настольных,Какие мероприятия за последние 4 года вас вдохновили?,27601
форум волонтёров яок,1,форум волонтёров ядерный оружейный комплекс,neutrals,форум волонтёров ядерный оружейный комплекс,Какие мероприятия за последние 4 года вас вдохновили?,27601
форум энергия снежинск,1,форум энергия снежинск,neutrals,форум энергия снежинск,Какие мероприятия за последние 4 года вас вдохновили?,27601
цифровая конференция росатома,1,цифровая конференция росатома,neutrals,цифровая конференция росатома,Какие мероприятия за последние 4 года вас вдохновили?,27601
человек года,6,человек года,neutrals,человек года,Какие мероприятия за последние 4 года вас вдохновили?,27601
человек года 2020,1,человек года,neutrals,человек года 2020,Какие мероприятия за последние 4 года вас вдохновили?,27601
чемпионат мира по футболу,1,чемпионат мира по футболу,neutrals,чемпионат мира по футболу,Какие мероприятия за последние 4 года вас вдохновили?,27601
школа лидеров,5,школа лидеров,neutrals,школа лидеров,Какие мероприятия за последние 4 года вас вдохновили?,27601
школа лидеров мс,1,школа лидеров,neutrals,школа лидеров мс,Какие мероприятия за последние 4 года вас вдохновили?,27601
школа молодёжного лидера вао,1,школа молодёжного лидера вао,neutrals,школа молодёжного лидера вао,Какие мероприятия за последние 4 года вас вдохновили?,27601
экспо-2020,1,экспо 2020,neutrals,экспо 2020,Какие мероприятия за последние 4 года вас вдохновили?,27601
этот слет,1,этот слет,neutrals,этот слет,Какие мероприятия за последние 4 года вас вдохновили?,27601
ядерный форум в питере,1,ядерный форум в питере,neutrals,ядерный форум в питере,Какие мероприятия за последние 4 года вас вдохновили?,27601
сложно,1,сложно,negatives,сложно,Опишите одним словом ваше текущее состояние,21756
тяжело,1,сложно,negatives,тяжело,Опишите одним словом ваше текущее состояние,21756
смятение,2,смятение,negatives,смятение,Опишите одним словом ваше текущее состояние,21756
собранность,2,сосредоточенность,positives,собранность,Опишите одним словом ваше текущее состояние,21756
сосредоточенность,2,сосредоточенность,positives,сосредоточенность,Опишите одним словом ваше текущее состояние,21756
сожаление,1,сожаление,neutrals,сожаление,Опишите одним словом ваше текущее состояние,21756
стабильно,3,стабильное,neutrals,стабильно,Опишите одним словом ваше текущее состояние,21756
стабильное,15,стабильное,positives,стабильное,Опишите одним словом ваше текущее состояние,21756
стабильность,3,стабильное,positives,стабильность,Опишите одним словом ваше текущее состояние,21756
стагнация,1,стагнация,negatives,стагнация,Опишите одним словом ваше текущее состояние,21756
стараюсь отвлечься,1,стараюсь отвлечься,neutrals,стараюсь отвлечься,Опишите одним словом ваше текущее состояние,21756
стресс,18,стресс,negatives,стресс,Опишите одним словом ваше текущее состояние,21756
твик из южного парка,1,твик из южного парка,neutrals,твик из южного парка,Опишите одним словом ваше текущее состояние,21756
текущее положение в стране,1,текущее положение в стране,neutrals,текущее положение в стране,Опишите одним словом ваше текущее состояние,21756
только вперед),1,только вперед,positives,только вперед,Опишите одним словом ваше текущее состояние,21756
ультрамыслительное,1,ультрамыслительное,neutrals,ультрамыслительное,Опишите одним словом ваше текущее состояние,21756
упадок,1,упадок,negatives,упадок,Опишите одним словом ваше текущее состояние,21756
упадок сил,1,упадок,negatives,упадок сил,Опишите одним словом ваше текущее состояние,21756
хаос,1,хаос,negatives,хаос,Опишите одним словом ваше текущее состояние,21756
целеустремленность,1,целеустремлённость,positives,целеустремленность,Опишите одним словом ваше текущее состояние,21756
